"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Alliant Visa","","10/12/2019","Sawyer Restaurant","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$106.85,$0.00,"Cleared"
"Alliant Visa","","10/12/2019","Frg Fanatics.com","Extras: Disposable Income","Extras","Disposable Income","PSU Hoodies",$82.43,$0.00,"Cleared"
"Alliant Visa","","10/12/2019","Google You Tube Tv","Immediate Obligations: Internet and Streaming TV","Immediate Obligations","Internet and Streaming TV","",$49.99,$0.00,"Cleared"
"Alliant Visa","","10/12/2019","Bartell Drug 67 Up Q Ann","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$7.48,$0.00,"Cleared"
"Alliant Visa","","10/11/2019","Avis Rent A Car 1 Walnut Creek CA","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$365.67,$0.00,"Cleared"
"Alliant Visa","","10/11/2019","Shell","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$45.58,$0.00,"Cleared"
"Alliant Visa","","10/11/2019","Queen Anne Coff","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$37.69,$0.00,"Cleared"
"Alliant Visa","","10/11/2019","Fob Poke Bar","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$37.33,$0.00,"Cleared"
"Alliant Visa","","10/11/2019","Salt & Straw Ic","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$24.77,$0.00,"Cleared"
"Alliant Visa","","10/11/2019","Lyft","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$12.75,$0.00,"Cleared"
"Alliant Visa","","10/11/2019","Caffe Fiore Q","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$10.36,$0.00,"Cleared"
"Alliant Visa","","10/10/2019","Kimpton Hotel Monaco Por","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$288.77,$0.00,"Cleared"
"Alliant Visa","","10/10/2019","Tasty N Alder","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$159.00,$0.00,"Cleared"
"Alliant Visa","","10/10/2019","Deschutes Brewery","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$85.25,$0.00,"Cleared"
"USAA Checking","","10/10/2019","Sw Ankeny St","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$83.50,$0.00,"Cleared"
"Alliant Visa","","10/10/2019","Safeway","Extras: October 2019 WC Trip!","Extras","October 2019 WC Trip!","",$55.52,$0.00,"Cleared"
