aX,aY,aZ,gX,gY,gZ
0.031,-4.000,-1.421,-537.622,62.073,-372.256
-0.531,-4.000,-1.138,-529.024,42.012,-354.146
-0.046,-4.000,-0.886,-494.329,20.122,-320.061
0.041,-4.000,-0.638,-476.402,6.463,-284.939
0.152,-4.000,-0.451,-448.537,-8.232,-244.939
-0.146,-4.000,-0.136,-419.512,-19.024,-194.085
-0.117,-4.000,0.400,-383.049,-17.256,-125.488
0.167,-4.000,0.310,-334.390,-13.963,-43.415
0.239,-4.000,0.487,-274.817,-1.829,40.427
0.553,-4.000,0.519,-235.732,-3.841,119.024
0.406,-4.000,0.828,-190.488,-1.402,190.000
0.447,-4.000,1.091,-142.866,16.220,258.537
0.502,-4.000,1.210,-99.695,23.232,315.549
0.378,-4.000,1.257,-64.268,32.439,359.024
0.554,-4.000,0.723,-22.744,38.415,388.110
0.187,-3.942,1.316,-4.329,39.085,402.683
0.048,-3.630,1.163,28.780,44.695,391.768
0.038,-3.315,1.191,50.122,47.195,367.622
-0.124,-2.998,1.167,75.183,36.341,329.451
-0.289,-2.637,1.124,95.732,38.963,272.683
-0.384,-2.277,1.118,110.061,34.390,208.476
-0.478,-1.972,1.081,126.524,30.427,141.159
-0.562,-1.647,1.046,137.439,21.524,66.463
-0.598,-1.385,1.047,144.451,15.366,-0.122
-0.614,-1.172,1.025,154.390,7.378,-51.037
-0.594,-0.957,1.021,158.110,-3.354,-98.171
-0.588,-0.761,1.002,157.073,-4.024,-131.951
-0.551,-0.633,1.017,157.988,-12.744,-151.829
-0.530,-0.545,1.002,156.463,-15.366,-156.098
-0.478,-0.438,0.982,155.183,-19.024,-151.951
-0.461,-0.363,0.974,147.988,-19.329,-136.890
-0.415,-0.294,0.971,142.012,-20.061,-119.573
-0.348,-0.218,0.971,137.134,-25.122,-98.720
-0.305,-0.145,0.997,135.122,-26.220,-76.585
-0.259,-0.108,0.992,129.634,-24.878,-60.610
-0.264,-0.124,0.989,126.646,-20.732,-43.537
-0.233,-0.032,0.990,126.890,-33.659,-27.256
-0.215,0.015,1.083,115.427,-34.573,-15.061
-0.165,0.014,1.094,111.768,-31.341,-9.024
-0.112,0.043,1.088,108.049,-27.866,-2.317
-0.080,0.078,1.044,100.244,-29.512,4.085
-0.041,0.055,1.030,91.951,-30.061,8.049
0.002,0.047,1.025,88.902,-28.902,11.037
0.041,0.040,1.017,81.951,-25.793,14.573
0.074,0.037,1.010,79.024,-23.354,15.488
0.101,0.015,1.014,74.085,-22.927,19.878
0.120,-0.007,1.015,71.037,-19.451,20.366
0.141,-0.015,1.018,65.427,-10.671,16.829
0.147,-0.032,1.005,61.341,-9.207,18.720
0.131,-0.039,1.001,60.122,-5.915,10.915
0.130,-0.063,1.002,56.098,-3.415,6.951
0.098,-0.083,1.003,52.683,3.232,2.378
0.105,-0.119,0.991,53.476,3.659,-7.256
0.068,-0.139,0.973,48.963,3.598,-13.171
0.035,-0.160,0.981,48.963,8.354,-19.878
0.001,-0.180,0.973,49.573,6.829,-25.732
-0.021,-0.178,0.962,48.354,7.988,-28.293
