aX,aY,aZ,gX,gY,gZ
-1.316,2.601,-1.552,-377.744,473.049,188.415
-1.477,2.534,-1.642,-384.390,473.537,208.293
-1.626,2.438,-1.648,-394.146,475.122,225.122
-1.763,2.381,-1.672,-406.280,473.476,244.878
-1.928,2.289,-1.726,-416.463,470.854,267.012
-2.061,2.226,-1.760,-428.963,471.098,285.366
-2.230,2.121,-1.811,-435.549,465.183,315.000
-2.366,1.833,-1.753,-445.488,460.000,346.220
-2.610,1.897,-1.902,-457.500,457.805,381.159
-2.776,1.892,-1.905,-462.988,445.122,407.805
-2.959,1.854,-1.931,-470.854,440.305,424.268
-3.159,1.822,-1.863,-472.683,437.378,434.085
-3.243,1.812,-1.958,-478.902,428.659,431.341
-3.612,1.742,-1.956,-485.854,414.329,419.817
-3.926,1.721,-1.960,-492.134,397.744,395.976
-4.000,1.736,-1.919,-497.622,377.988,361.829
-4.000,1.694,-1.920,-510.366,354.878,312.988
-4.000,1.582,-1.974,-521.098,332.683,263.537
-4.000,1.294,-1.913,-537.439,289.756,206.829
-4.000,0.944,-1.855,-551.098,250.366,151.098
-4.000,0.571,-1.849,-560.366,213.720,94.146
-4.000,0.084,-1.943,-567.256,166.646,49.390
-4.000,-0.319,-1.917,-569.756,113.841,11.646
-4.000,-0.871,-1.869,-578.110,65.061,-22.073
-4.000,-1.688,-1.811,-577.561,23.049,-49.146
-4.000,-2.393,-1.714,-569.451,-26.037,-76.646
-4.000,-2.994,-1.345,-553.781,-76.646,-93.902
-4.000,-3.927,-1.292,-532.744,-142.439,-112.622
-4.000,-4.000,-1.428,-489.939,-183.171,-126.890
-4.000,-4.000,-1.431,-445.000,-231.646,-147.561
-3.855,-4.000,-1.323,-379.878,-291.220,-163.598
-3.507,-4.000,-1.031,-311.951,-336.037,-176.768
-2.961,-4.000,-0.821,-236.829,-364.939,-183.902
-2.439,-4.000,-0.644,-164.268,-399.085,-176.341
-1.896,-4.000,-0.592,-90.000,-419.573,-158.659
-1.320,-4.000,-0.374,-24.207,-439.451,-130.915
-0.756,-4.000,-0.480,26.402,-449.207,-94.573
-0.501,-4.000,-0.305,71.159,-448.476,-67.073
-0.089,-4.000,-0.148,111.159,-443.780,-32.317
0.241,-3.979,-0.204,136.890,-440.000,-4.695
0.485,-3.427,-0.148,162.134,-439.451,16.463
0.755,-2.835,-0.104,180.549,-425.244,25.610
0.915,-2.339,-0.088,190.549,-413.232,27.256
0.993,-1.943,0.008,197.561,-388.963,10.732
1.158,-1.641,0.009,203.171,-373.232,-11.280
1.231,-1.381,-0.008,208.659,-356.829,-41.646
1.378,-1.152,0.030,219.817,-348.537,-87.561
1.554,-0.916,-0.006,218.659,-344.451,-121.768
1.731,-0.572,0.237,231.037,-319.207,-155.732
2.021,-0.380,0.328,231.524,-290.488,-173.049
2.160,-0.221,0.525,233.232,-259.939,-187.317
2.292,-0.092,0.440,229.146,-226.098,-190.122
2.337,-0.026,0.475,226.402,-201.585,-187.073
2.391,-0.008,0.465,221.585,-178.720,-174.878
2.398,-0.027,0.527,220.549,-149.573,-160.183
2.393,-0.028,0.595,218.902,-120.549,-137.317
2.336,-0.061,0.616,217.378,-99.451,-116.829
2.266,-0.115,0.548,222.622,-76.951,-96.280
2.208,-0.090,0.453,223.841,-57.012,-82.195
2.109,-0.020,0.407,231.402,-37.195,-69.695
1.981,0.074,0.359,231.768,-22.378,-64.817
1.861,0.191,0.370,236.463,-8.293,-73.232
1.725,0.330,0.348,235.671,7.317,-85.366
1.576,0.447,0.324,239.024,22.988,-103.963
1.430,0.567,0.319,236.280,32.805,-133.232
1.284,0.638,0.347,237.317,43.232,-158.415
1.070,0.696,0.400,237.439,55.366,-193.171
0.976,0.729,0.281,234.390,66.402,-225.488
0.756,0.807,0.255,230.061,71.220,-253.780
0.616,0.729,0.228,227.622,76.829,-283.841
0.584,0.819,0.215,227.927,91.829,-293.232
0.453,0.918,0.205,219.146,99.573,-306.829
0.353,0.991,0.234,210.244,105.305,-305.976
0.257,1.067,0.280,201.098,109.207,-293.841
0.184,1.144,0.317,192.439,116.585,-279.024
0.123,1.197,0.310,177.744,122.988,-256.951
0.058,1.240,0.338,164.146,127.622,-222.744
-0.021,1.270,0.354,152.073,135.305,-184.634
-0.103,1.301,0.345,134.817,137.439,-140.671
-0.181,1.334,0.356,122.744,140.122,-96.524
-0.238,1.360,0.391,108.415,139.634,-53.720
-0.288,1.361,0.449,99.817,137.073,-7.500
-0.379,1.354,0.509,84.390,137.805,27.683
-0.411,1.354,0.537,73.049,137.439,60.915
-0.470,1.354,0.573,62.195,136.280,87.073
-0.506,1.347,0.597,53.171,131.585,99.939
-0.549,1.341,0.591,43.171,129.817,106.402
-0.590,1.312,0.597,34.085,124.634,104.634
-0.625,1.273,0.594,24.085,116.646,96.220
-0.651,1.231,0.644,18.171,118.171,75.061
-0.698,1.174,0.664,15.549,110.366,52.500
-0.742,1.095,0.705,9.695,106.037,18.537
-0.775,1.042,0.731,6.220,101.829,-15.305
-0.822,0.976,0.750,0.427,97.073,-50.732
-0.836,0.901,0.763,-0.732,85.366,-86.098
-0.847,0.831,0.779,-3.780,79.451,-114.573
-0.860,0.752,0.794,-4.817,74.573,-149.878
-0.855,0.677,0.810,-12.500,69.573,-171.829
-0.874,0.573,0.825,-14.878,61.402,-189.756
-0.883,0.464,0.850,-16.463,55.366,-201.768
-0.872,0.364,0.840,-19.329,56.341,-205.366
-0.858,0.276,0.835,-20.305,47.378,-198.293
-0.845,0.176,0.833,-23.171,40.610,-186.280
-0.840,0.105,0.859,-26.829,40.671,-165.244
-0.844,0.042,0.875,-29.146,35.183,-139.451
-0.833,-0.002,0.894,-25.366,31.280,-108.232
-0.825,-0.038,0.901,-28.841,31.463,-77.744
-0.827,-0.062,0.903,-27.317,22.500,-43.476
-0.807,-0.068,0.884,-26.463,22.866,-9.451
-0.790,-0.050,0.903,-26.768,17.134,19.573
-0.798,-0.027,0.971,-26.037,16.402,43.476
-0.803,-0.028,0.980,-23.780,15.427,64.390
-0.797,-0.015,0.969,-22.439,9.390,78.659
-0.785,0.011,0.954,-20.610,2.134,90.366
-0.744,0.036,0.958,-21.098,0.854,93.659
-0.713,0.072,0.966,-19.878,-4.756,96.951
-0.677,0.114,0.958,-15.122,-9.573,90.061
