aX,aY,aZ,gX,gY,gZ
0.804,0.308,0.627,-65.000,146.829,1075.610
0.807,0.401,0.607,-71.341,150.976,1107.012
0.814,0.477,0.575,-74.451,154.268,1137.134
0.805,0.558,0.569,-81.524,160.183,1158.781
0.808,0.594,0.554,-84.390,161.829,1177.683
0.821,0.635,0.543,-92.256,167.500,1193.171
0.811,0.653,0.538,-95.061,171.037,1205.671
0.837,0.652,0.548,-105.000,186.341,1210.854
0.958,0.561,0.532,-108.293,195.366,1208.476
0.845,0.615,0.532,-109.390,207.439,1198.049
0.841,0.550,0.514,-110.000,224.390,1175.854
0.819,0.465,0.467,-112.317,235.671,1143.781
0.771,0.386,0.458,-108.415,242.500,1113.232
0.714,0.282,0.437,-107.439,261.890,1074.390
0.647,0.203,0.404,-100.183,273.659,1036.402
0.507,0.080,0.397,-95.244,287.134,1003.415
0.323,-0.023,0.353,-88.963,295.854,968.476
0.128,-0.098,0.284,-81.646,305.854,934.878
-0.130,-0.168,0.263,-69.146,305.549,900.061
-0.406,-0.157,0.210,-60.732,306.829,861.768
-0.708,-0.170,0.194,-49.573,297.073,824.329
-0.973,-0.184,0.172,-40.122,286.829,781.341
-1.249,-0.161,0.209,-28.537,274.451,733.049
-1.525,-0.155,0.288,-21.646,255.366,685.244
-1.759,-0.143,0.140,-12.622,235.549,628.293
-1.892,-0.151,0.194,-3.841,208.293,566.463
-2.066,-0.153,0.356,4.207,177.134,501.463
-2.135,-0.125,0.462,13.720,155.244,439.146
-2.144,-0.083,0.426,22.439,134.817,369.451
-2.157,-0.080,0.480,31.220,109.817,295.671
-2.151,-0.077,0.403,41.402,89.085,224.756
-2.148,-0.049,0.325,47.988,69.390,152.927
-2.127,-0.010,0.313,53.293,45.122,83.963
-2.067,0.006,0.348,61.463,25.793,16.768
-2.062,0.035,0.368,64.207,11.463,-45.915
-1.982,0.056,0.395,66.768,-2.134,-111.646
-1.920,0.072,0.395,70.244,-14.451,-170.976
-1.868,0.038,0.393,73.902,-28.049,-232.195
-1.859,0.007,0.412,79.817,-42.012,-289.756
-1.803,-0.017,0.366,86.341,-54.268,-357.012
-1.779,-0.060,0.379,89.207,-70.549,-424.268
-1.805,-0.064,0.377,98.171,-82.439,-500.305
-1.783,-0.043,0.327,103.171,-91.280,-590.122
-1.775,-0.005,0.311,113.659,-107.256,-685.183
-1.759,0.052,0.324,124.024,-122.134,-788.902
-1.792,0.160,0.336,131.220,-138.780,-887.622
-1.807,0.259,0.321,138.598,-147.866,-992.195
-1.878,0.362,0.367,144.207,-158.415,-1089.939
-1.971,0.368,0.434,147.439,-167.256,-1179.512
-2.117,0.250,0.476,152.317,-183.780,-1261.890
-2.185,0.121,0.521,155.793,-197.256,-1326.524
-2.188,-0.108,0.478,165.854,-217.622,-1367.256
-2.192,-0.357,0.500,173.110,-239.695,-1387.500
-2.053,-0.554,0.487,185.793,-262.073,-1375.549
-1.832,-0.810,0.430,195.549,-275.244,-1333.293
-1.532,-0.935,0.429,210.305,-286.463,-1258.293
-1.235,-1.006,0.369,223.293,-294.939,-1162.561
-0.796,-0.966,0.320,231.646,-288.049,-1042.439
-0.437,-0.899,0.297,235.305,-281.402,-912.195
-0.089,-0.756,0.253,232.866,-266.280,-776.646
0.210,-0.573,0.211,229.817,-246.220,-644.878
0.435,-0.359,0.224,223.963,-228.232,-518.537
0.665,-0.147,0.224,211.220,-208.476,-398.415
0.850,0.070,0.269,197.134,-191.768,-292.073
0.979,0.298,0.330,180.183,-169.939,-202.744
1.082,0.533,0.381,162.256,-149.085,-128.780
1.184,0.736,0.445,143.841,-134.939,-73.415
1.234,0.884,0.480,123.232,-116.402,-36.951
1.244,1.033,0.540,103.598,-100.305,-10.976
1.304,1.128,0.575,86.524,-87.683,0.854
1.309,1.192,0.613,68.598,-77.805,-2.744
1.350,1.219,0.659,48.232,-66.768,-9.268
1.345,1.211,0.674,34.756,-54.817,-22.256
1.343,1.160,0.660,12.622,-39.146,-37.744
1.330,1.068,0.634,-0.305,-32.317,-55.488
1.298,0.948,0.644,-15.915,-20.549,-78.476
1.251,0.782,0.661,-28.963,-16.037,-96.341
1.216,0.611,0.695,-38.354,-4.268,-115.671
1.171,0.413,0.704,-49.878,2.317,-132.012
1.110,0.242,0.711,-58.110,12.134,-147.622
1.049,0.049,0.714,-61.951,14.878,-160.854
0.988,-0.123,0.753,-62.866,19.756,-161.890
0.946,-0.304,0.753,-68.476,27.561,-162.439
0.899,-0.456,0.731,-68.841,28.963,-159.817
0.845,-0.610,0.793,-70.122,34.939,-150.061
0.772,-0.736,0.788,-70.000,37.866,-142.988
0.709,-0.827,0.792,-67.744,40.915,-131.646
0.638,-0.920,0.757,-59.573,40.183,-117.195
0.604,-0.994,0.746,-59.329,42.683,-97.805
0.552,-1.041,0.763,-53.171,36.707,-79.573
0.539,-1.079,0.770,-46.585,37.927,-60.183
0.522,-1.086,0.772,-42.683,39.207,-41.341
0.513,-1.107,0.783,-39.573,38.049,-20.915
0.509,-1.097,0.783,-34.695,39.146,-2.378
0.505,-1.097,0.799,-28.293,36.220,15.854
0.498,-1.075,0.766,-27.439,40.244,29.817
0.509,-1.049,0.780,-20.122,37.195,43.110
0.509,-1.026,0.771,-18.720,41.646,54.451
0.520,-0.967,0.757,-10.427,41.768,62.134
0.502,-0.922,0.758,-8.720,44.512,68.720
0.496,-0.885,0.767,-4.695,39.695,75.183
0.486,-0.858,0.790,-0.976,39.207,77.500
0.487,-0.802,0.781,1.646,42.134,76.402
0.467,-0.771,0.791,4.878,41.220,70.488
0.442,-0.750,0.779,3.720,41.341,62.195
0.425,-0.730,0.777,9.329,40.671,59.695
0.413,-0.717,0.774,10.854,35.549,49.329
0.401,-0.703,0.760,14.512,37.378,35.183
0.380,-0.696,0.779,16.280,35.305,22.317
0.364,-0.695,0.776,19.512,36.768,11.037
0.345,-0.687,0.761,19.634,37.195,-3.598
0.338,-0.712,0.758,20.183,36.829,-14.024
0.305,-0.705,0.759,24.878,34.146,-29.573
0.286,-0.721,0.775,27.622,35.427,-40.610
0.267,-0.730,0.793,30.366,30.854,-54.146
0.245,-0.718,0.802,30.427,31.159,-62.561
0.224,-0.703,0.808,34.756,24.573,-70.488
0.235,-0.682,0.787,34.878,27.988,-78.963
0.217,-0.660,0.781,36.707,26.890,-82.805

0.513,-0.587,0.827,-67.988,54.146,1217.439
0.492,-0.646,0.769,-66.951,58.780,1281.707
0.487,-0.664,0.682,-66.524,69.939,1344.634
0.501,-0.734,0.646,-65.000,65.976,1411.098
0.446,-0.725,0.615,-66.768,67.439,1471.402
0.406,-0.752,0.586,-60.305,68.598,1531.646
0.364,-0.723,0.569,-59.390,79.512,1581.098
0.420,-0.708,0.509,-54.024,78.598,1659.268
0.242,-0.750,0.530,-48.293,83.537,1731.037
0.195,-0.684,0.559,-35.549,84.451,1786.037
0.200,-0.530,0.654,-27.378,90.488,1821.037
0.104,-0.491,0.744,-24.146,100.183,1833.841
-0.089,-0.471,0.701,-23.598,87.256,1826.829
-0.072,-0.207,0.607,-22.439,67.805,1792.988
-0.289,-0.205,0.621,-16.707,50.854,1742.561
-0.106,-0.271,0.840,-9.573,42.012,1678.354
-0.097,-0.315,0.925,-5.793,54.268,1601.890
-0.019,-0.177,0.861,-1.951,49.695,1519.634
-0.122,-0.326,1.028,4.512,38.232,1422.378
-0.073,-0.234,1.023,10.671,42.988,1305.671
-0.068,-0.294,1.053,23.841,46.098,1177.012
-0.110,-0.206,1.074,29.756,52.622,1033.537
-0.102,-0.133,0.935,37.439,52.866,895.244
-0.223,-0.049,0.917,40.793,52.256,749.451
-0.244,0.040,0.902,48.537,51.768,602.012
-0.368,0.146,0.945,60.366,49.146,457.195
-0.428,0.244,0.924,60.488,47.683,314.512
-0.513,0.322,0.916,62.622,44.207,188.232
-0.580,0.393,0.904,58.171,40.854,68.841
-0.637,0.431,0.893,54.451,33.598,-31.524
-0.692,0.456,0.896,51.463,28.232,-113.598
-0.750,0.456,0.891,45.183,27.561,-179.207
-0.795,0.392,0.901,38.902,17.317,-222.683
