aX,aY,aZ,gX,gY,gZ
-0.228,-0.421,-1.781,39.756,-272.622,21.037
0.024,-0.387,-1.823,31.768,-291.890,20.427
0.263,-0.391,-1.781,27.317,-331.768,19.024
0.422,-0.379,-1.556,5.305,-360.427,21.646
0.602,-0.386,-1.206,4.207,-378.598,20.732
0.768,-0.423,-1.106,7.683,-387.927,22.134
0.832,-0.417,-0.951,18.415,-410.366,24.085
0.981,-0.471,-0.648,39.756,-434.207,22.195
1.109,-0.683,-0.321,85.305,-440.732,33.476
1.200,-0.594,-0.202,77.195,-458.537,38.841
1.101,-0.487,-0.061,22.927,-473.659,38.293
1.108,-0.525,0.282,-34.207,-515.183,25.183
1.024,-0.674,0.901,-60.793,-542.988,21.951
0.820,-0.830,1.506,-68.049,-524.451,30.793
0.667,-0.699,1.859,-78.841,-493.293,45.732
0.551,-0.594,2.261,-69.878,-483.659,40.976
0.345,-0.673,2.644,-47.988,-456.585,48.902
0.123,-0.646,2.848,-27.012,-423.963,53.293
-0.108,-0.659,3.057,-7.988,-399.268,61.829
-0.280,-0.661,3.205,16.707,-387.073,72.561
-0.347,-0.527,3.417,29.390,-383.171,83.537
-0.548,-0.395,3.803,51.463,-375.366,93.110
-0.643,0.018,4.000,73.354,-359.573,103.232
-0.722,0.197,4.000,89.024,-331.341,103.232
-0.755,0.548,4.000,105.793,-295.305,105.427
-0.949,1.000,4.000,114.268,-238.354,103.110
-1.187,1.290,4.000,120.915,-185.000,88.354
-1.133,1.347,4.000,122.378,-133.598,86.890
-1.210,1.675,4.000,120.000,-62.195,61.646
-1.142,1.758,4.000,111.829,-6.890,37.805
-1.004,1.818,4.000,103.415,50.244,18.720
-0.847,1.775,4.000,91.707,124.451,-7.378
-0.698,1.599,4.000,76.159,219.817,-32.317
-0.559,1.338,4.000,54.146,287.744,-53.171
-0.418,0.970,4.000,24.390,353.049,-63.110
-0.374,0.661,4.000,-17.744,365.976,-86.829
-0.329,0.317,4.000,-47.317,455.976,-97.134
0.145,0.337,3.253,-97.805,552.073,-84.939
0.157,0.121,2.107,-128.110,576.402,-83.963
0.284,0.038,1.759,-119.451,489.207,-89.268
0.269,-0.116,1.600,-105.061,461.951,-92.561
0.294,-0.084,1.182,-119.756,490.671,-83.415
0.560,-0.100,0.585,-130.061,480.427,-92.317
0.258,-0.235,0.127,-137.256,430.244,-89.024
0.718,-0.196,-0.255,-138.110,413.780,-85.610
0.258,-0.419,0.120,-124.024,371.524,-85.671
0.311,-0.348,-0.065,-146.037,379.390,-78.659
0.116,-0.564,-0.380,-132.256,381.098,-56.768
0.158,-0.627,-0.324,-108.902,319.756,-56.159
0.108,-0.376,-0.268,-108.415,325.183,-60.244
0.079,-0.584,-0.147,-102.805,398.963,-50.854
-0.048,-0.138,0.265,-110.244,331.585,-35.976
-0.066,-0.505,0.111,-81.463,329.268,-33.598
-0.042,-0.515,0.147,-55.488,264.878,-26.646
0.035,-0.215,0.146,-79.207,276.159,-26.463
-0.057,-0.443,0.498,-41.524,281.037,-16.768
0.027,-0.250,0.222,-6.829,346.890,-9.756
-0.029,-0.240,-0.456,-27.134,344.817,-5.854
0.320,-0.231,-0.838,-32.012,310.244,-10.793
-0.009,-0.334,-0.776,-48.841,273.110,-12.134
0.036,-0.305,-1.074,-63.293,276.890,-6.890
-0.079,-0.361,-1.197,-49.390,266.159,-9.451
-0.172,-0.444,-1.380,-59.634,244.634,-1.890
-0.206,-0.892,-1.517,-51.707,201.585,-9.329
-0.240,-0.939,-1.206,-148.476,127.500,17.134
-0.030,-0.283,-0.686,-75.488,162.683,36.890
-0.210,-0.265,-1.218,-86.707,179.024,20.427
-0.176,-0.032,-1.499,-103.354,142.683,28.415
-0.208,-0.086,-1.549,-84.451,108.415,17.500
-0.251,-0.067,-1.587,-104.817,98.171,8.902
-0.297,-0.159,-1.674,-83.415,57.683,10.732
-0.477,-0.160,-1.478,-96.098,30.122,9.817
-0.637,-0.453,-1.160,4.695,-24.085,13.232
-0.416,-0.025,-0.911,-43.232,1.280,14.878
-0.839,-0.358,-1.076,-36.585,1.463,22.561
-0.742,-0.119,-1.003,-30.915,-26.402,22.134
-0.822,-0.239,-0.812,-40.427,-35.671,14.573
-0.781,-0.344,-0.660,-15.793,-62.927,17.622
-0.679,-0.224,-0.433,-10.122,-71.646,27.073
-0.840,-0.299,-0.256,17.134,-71.463,22.256
-1.066,-0.339,-0.163,19.634,-73.780,31.098
-0.837,-0.280,-0.026,16.646,-92.012,33.354
-0.881,-0.207,0.213,18.171,-106.524,32.622
-0.849,-0.119,0.581,23.780,-104.756,32.378
-0.880,-0.127,0.793,31.159,-82.561,36.402
-0.793,-0.187,0.855,35.061,-72.683,31.951
-1.017,-0.202,0.911,47.744,-53.171,37.012
-0.977,-0.156,0.885,35.427,-39.695,34.939
-0.861,-0.269,0.833,14.451,-40.183,35.854
-0.819,-0.249,1.022,19.634,-36.341,34.146
-1.113,0.036,1.078,28.354,-22.622,43.415
-0.943,-0.057,1.077,20.427,0.183,30.061
-0.849,-0.199,0.924,21.768,9.085,33.963
-0.947,-0.139,0.837,13.171,18.476,31.402
-0.948,0.017,0.704,-2.866,25.000,26.646
-1.128,0.297,0.580,-10.000,27.561,28.293
-0.929,0.076,0.519,-15.427,26.951,16.768
-0.908,0.115,0.396,-15.488,31.829,15.122
-0.903,0.062,0.294,-17.744,25.061,15.122
-0.902,0.030,0.208,-20.488,26.037,13.720
-0.892,0.021,0.116,-13.659,12.073,14.756
-0.900,0.014,0.109,-9.756,8.841,9.451
-0.887,0.006,0.128,0.732,1.341,11.768
-0.886,-0.009,0.146,4.329,-1.524,10.793
-0.906,0.027,0.185,2.012,-10.671,7.683
-0.912,0.005,0.275,4.085,-21.341,10.793
-0.913,0.006,0.395,3.110,-23.659,7.622
-0.929,0.041,0.548,1.159,-28.537,6.768
-0.933,0.052,0.684,1.768,-26.280,6.098
-0.932,0.083,0.780,6.159,-22.012,0.671
-0.949,0.042,0.882,10.427,-20.244,-1.951
-0.945,0.043,0.969,6.951,-5.061,-0.549
-0.941,0.039,0.941,11.463,7.195,-1.524
-0.937,0.031,0.911,12.195,14.451,-2.134
-0.922,0.019,0.856,11.098,23.415,-4.451
-0.908,0.004,0.737,11.951,29.024,-5.244
-0.927,-0.014,0.642,4.756,36.585,-6.890
-0.931,-0.036,0.531,8.415,39.390,-8.476
-0.885,-0.054,0.429,9.329,38.049,-10.427

1.378,0.617,-0.398,108.354,-299.817,-27.988
1.165,0.502,-0.312,162.439,-318.293,-26.098
0.596,0.468,-0.062,67.439,-278.537,-35.732
0.178,-0.203,-0.222,54.146,-269.512,-55.244
0.099,-0.543,-0.607,95.305,-291.768,-43.354
0.144,-0.234,-0.664,15.671,-317.500,-37.805
0.125,-0.568,-0.324,-10.366,-319.695,-46.402
0.209,-0.652,-0.576,-16.768,-333.049,-39.817
0.317,-0.745,-0.348,-43.902,-368.720,-45.122
0.504,-0.618,-0.104,-50.671,-384.634,-37.500
0.583,-0.658,0.153,-52.073,-410.915,-36.768
0.552,-0.762,0.560,-45.793,-436.768,-35.976
0.508,-0.840,0.974,-29.085,-431.098,-22.805
0.566,-0.824,1.230,0.671,-434.939,-14.024
0.441,-0.847,1.658,8.415,-442.988,-7.439
0.263,-0.819,2.133,45.976,-415.549,10.366
-0.173,-0.768,2.279,79.329,-397.378,19.390
0.262,-0.488,2.432,47.073,-367.927,14.695
-0.234,-0.806,2.765,96.890,-395.000,44.329
-0.355,-0.566,2.953,62.622,-378.720,53.476
-0.831,-0.327,3.276,115.000,-334.573,46.768
-0.451,-0.095,3.266,104.390,-354.268,72.256
-0.593,-0.014,3.802,105.061,-349.939,68.293
-0.887,0.219,4.000,110.610,-319.268,86.707
-0.940,0.421,4.000,134.390,-251.280,71.280
-0.967,0.678,4.000,142.683,-201.098,65.610
-0.951,0.734,4.000,120.488,-162.195,60.061
-0.982,1.000,4.000,107.988,-107.439,60.549
-1.238,1.307,4.000,93.293,-41.585,40.061
-0.926,1.181,4.000,87.439,9.146,22.500
-0.635,1.293,4.000,78.537,55.671,9.146
-0.675,1.011,4.000,71.890,105.122,-9.268
-0.879,0.857,4.000,56.646,158.110,-20.732
-0.876,0.558,4.000,27.927,217.012,-32.256
-0.795,0.409,4.000,0.000,266.098,-44.390
-0.696,0.323,4.000,-24.451,300.976,-46.890
-0.549,0.223,3.647,-38.963,332.317,-52.317
-0.463,0.189,3.355,-47.927,367.317,-59.268
-0.296,0.183,2.860,-65.915,409.207,-59.329
-0.198,0.140,2.262,-61.402,423.354,-72.134
-0.189,0.105,1.786,-77.134,393.780,-61.585
-0.181,0.059,1.546,-77.195,390.610,-70.549
0.129,0.124,1.203,-90.549,396.951,-65.061
0.032,0.087,0.793,-85.976,380.549,-74.573
0.209,-0.084,0.405,-66.585,349.573,-75.000
0.170,-0.031,0.202,-84.939,361.463,-78.415
