aX,aY,aZ,gX,gY,gZ
-0.529,0.059,1.699,-600.244,55.000,-104.878
-0.534,0.056,1.380,-644.573,42.439,-124.817
-0.594,-0.139,1.545,-634.268,36.890,-103.171
-0.434,0.131,1.470,-649.756,52.073,-124.085
-0.559,-0.143,1.444,-656.463,33.232,-113.476
-0.623,0.336,1.265,-708.049,96.524,-121.646
-0.403,0.089,0.975,-761.402,109.390,-147.561
-0.383,-0.399,0.620,-702.256,44.085,-141.159
-0.322,0.065,0.721,-753.537,59.390,-147.317
-0.273,-0.182,0.433,-695.610,13.232,-134.390
-0.406,-0.121,0.739,-729.817,15.305,-154.878
-0.372,0.062,0.693,-738.110,-12.744,-151.159
-0.325,-0.191,0.943,-715.000,-7.500,-150.915
-0.355,-0.395,0.898,-697.622,-7.439,-137.378
-0.391,-0.462,1.118,-668.963,-10.671,-127.073
-0.344,-0.376,1.236,-647.500,8.963,-124.878
-0.343,-0.208,1.181,-616.037,27.744,-117.988
-0.335,-0.078,1.090,-591.219,32.866,-114.085
-0.316,0.025,0.940,-568.110,47.500,-118.841
-0.230,0.042,0.801,-546.646,64.024,-113.171
-0.200,0.113,0.544,-537.988,80.244,-108.902
-0.116,0.188,0.239,-517.317,82.561,-123.598
-0.096,0.062,-0.038,-514.634,68.110,-136.768
-0.065,-0.139,-0.198,-504.756,50.976,-145.549
-0.074,-0.279,-0.305,-501.707,31.890,-150.793
-0.063,-0.464,-0.293,-497.256,13.232,-153.841
-0.042,-0.630,-0.214,-499.329,2.561,-156.890
-0.145,-0.792,-0.134,-496.646,-1.829,-162.927
-0.040,-0.854,-0.013,-490.732,-9.817,-156.951
-0.032,-1.002,0.078,-467.561,-12.012,-162.073
-0.062,-0.942,0.145,-460.183,1.220,-152.195
0.076,-0.796,0.176,-426.280,9.207,-146.159
-0.024,-0.918,0.060,-409.451,12.195,-147.378
-0.029,-0.864,-0.099,-391.951,19.878,-143.780
-0.044,-0.880,-0.232,-355.549,7.744,-137.256
-0.054,-0.820,-0.340,-351.585,12.256,-134.512
0.003,-0.699,-0.454,-321.585,3.659,-139.756
-0.031,-0.820,-0.518,-302.561,-11.463,-139.512
-0.024,-0.840,-0.477,-276.098,-22.195,-134.390
-0.011,-0.987,-0.417,-250.610,-39.146,-139.939
-0.008,-1.214,-0.284,-225.854,-51.890,-133.415
-0.046,-1.394,-0.096,-187.439,-53.171,-114.817
-0.026,-1.472,0.074,-149.939,-48.659,-95.793
-0.064,-1.525,0.202,-115.244,-37.195,-76.768
-0.054,-1.485,0.257,-72.134,-23.049,-54.146
-0.071,-1.375,0.168,-38.476,-17.317,-41.341
